2025-08-28 13:08:50 | DEBUG    | superclaude | SuperClaude called with operation: install
2025-08-28 13:08:50 | DEBUG    | superclaude | Arguments: {'verbose': False, 'quiet': False, 'install_dir': PosixPath('/home/chad/.claude'), 'dry_run': False, 'force': False, 'yes': False, 'no_update_check': False, 'auto_update': False, 'operation': 'install', 'components': None, 'no_backup': False, 'list_components': False, 'diagnose': False}
2025-08-28 13:08:50 | INFO     | superclaude | Executing operation: install
2025-08-28 13:08:50 | INFO     | superclaude | Starting install operation
2025-08-28 13:08:50 | INFO     | superclaude.security | [ALLOW] Claude directory installation validated: /home/chad/.claude (PID: 428969)
2025-08-28 13:08:50 | INFO     | superclaude | Initializing installation system...
2025-08-28 13:08:50 | DEBUG    | superclaude | Discovered 3 .md files in /home/chad/.local/share/pipx/venvs/superclaude/lib/python3.12/site-packages/SuperClaude/Core
2025-08-28 13:08:50 | DEBUG    | superclaude | Files found: ['FLAGS.md', 'PRINCIPLES.md', 'RULES.md']
2025-08-28 13:08:50 | DEBUG    | superclaude | Discovered 5 .md files in /home/chad/.local/share/pipx/venvs/superclaude/lib/python3.12/site-packages/SuperClaude/Modes
2025-08-28 13:08:50 | DEBUG    | superclaude | Files found: ['MODE_Brainstorming.md', 'MODE_Introspection.md', 'MODE_Orchestration.md', 'MODE_Task_Management.md', 'MODE_Token_Efficiency.md']
2025-08-28 13:08:50 | DEBUG    | superclaude | Discovered 21 .md files in /home/chad/.local/share/pipx/venvs/superclaude/lib/python3.12/site-packages/SuperClaude/Commands
2025-08-28 13:08:50 | DEBUG    | superclaude | Files found: ['analyze.md', 'brainstorm.md', 'build.md', 'cleanup.md', 'design.md', 'document.md', 'estimate.md', 'explain.md', 'git.md', 'implement.md', 'improve.md', 'index.md', 'load.md', 'reflect.md', 'save.md', 'select-tool.md', 'spawn.md', 'task.md', 'test.md', 'troubleshoot.md', 'workflow.md']
2025-08-28 13:08:50 | DEBUG    | superclaude | Discovered 14 .md files in /home/chad/.local/share/pipx/venvs/superclaude/lib/python3.12/site-packages/SuperClaude/Agents
2025-08-28 13:08:50 | DEBUG    | superclaude | Files found: ['backend-architect.md', 'devops-architect.md', 'frontend-architect.md', 'learning-guide.md', 'performance-engineer.md', 'python-expert.md', 'quality-engineer.md', 'refactoring-expert.md', 'requirements-analyst.md', 'root-cause-analyst.md', 'security-engineer.md', 'socratic-mentor.md', 'system-architect.md', 'technical-writer.md']
2025-08-28 13:08:50 | DEBUG    | superclaude | Discovered 0 .md files in /home/chad/.local/share/pipx/venvs/superclaude/lib/python3.12/site-packages/SuperClaude/MCP/configs
2025-08-28 13:08:50 | DEBUG    | superclaude | Discovered 0 .md files in /home/chad/.local/share/pipx/venvs/superclaude/lib/python3.12/site-packages/SuperClaude/MCP/configs
2025-08-28 13:08:55 | INFO     | superclaude | Selected MCP servers: context7, sequential, magic, playwright, serena, morphllm
2025-08-28 13:19:02 | INFO     | superclaude | Added TWENTYFIRST_API_KEY to /home/chad/.zshrc
2025-08-28 13:19:02 | INFO     | superclaude | Environment variable TWENTYFIRST_API_KEY configured for current session
2025-08-28 13:19:02 | INFO     | superclaude | Added MORPH_API_KEY to /home/chad/.zshrc
2025-08-28 13:19:02 | INFO     | superclaude | Environment variable MORPH_API_KEY configured for current session
2025-08-28 13:19:02 | INFO     | superclaude | Added 2 environment variables to tracking
2025-08-28 13:19:05 | INFO     | superclaude | Selected framework components: core, modes, commands, agents, mcp_docs, mcp
2025-08-28 13:19:05 | INFO     | superclaude | Validating system requirements...
2025-08-28 13:19:05 | INFO     | superclaude | All system requirements met
2025-08-28 13:19:05 | WARNING  | superclaude | Installation directory already exists: /home/chad/.claude
2025-08-28 13:19:10 | DEBUG    | superclaude | Discovered 3 .md files in /home/chad/.local/share/pipx/venvs/superclaude/lib/python3.12/site-packages/SuperClaude/Core
2025-08-28 13:19:10 | DEBUG    | superclaude | Files found: ['FLAGS.md', 'PRINCIPLES.md', 'RULES.md']
2025-08-28 13:19:10 | DEBUG    | superclaude | Discovered 5 .md files in /home/chad/.local/share/pipx/venvs/superclaude/lib/python3.12/site-packages/SuperClaude/Modes
2025-08-28 13:19:10 | DEBUG    | superclaude | Files found: ['MODE_Brainstorming.md', 'MODE_Introspection.md', 'MODE_Orchestration.md', 'MODE_Task_Management.md', 'MODE_Token_Efficiency.md']
2025-08-28 13:19:10 | DEBUG    | superclaude | Discovered 21 .md files in /home/chad/.local/share/pipx/venvs/superclaude/lib/python3.12/site-packages/SuperClaude/Commands
2025-08-28 13:19:10 | DEBUG    | superclaude | Files found: ['analyze.md', 'brainstorm.md', 'build.md', 'cleanup.md', 'design.md', 'document.md', 'estimate.md', 'explain.md', 'git.md', 'implement.md', 'improve.md', 'index.md', 'load.md', 'reflect.md', 'save.md', 'select-tool.md', 'spawn.md', 'task.md', 'test.md', 'troubleshoot.md', 'workflow.md']
2025-08-28 13:19:10 | DEBUG    | superclaude | Discovered 14 .md files in /home/chad/.local/share/pipx/venvs/superclaude/lib/python3.12/site-packages/SuperClaude/Agents
2025-08-28 13:19:10 | DEBUG    | superclaude | Files found: ['backend-architect.md', 'devops-architect.md', 'frontend-architect.md', 'learning-guide.md', 'performance-engineer.md', 'python-expert.md', 'quality-engineer.md', 'refactoring-expert.md', 'requirements-analyst.md', 'root-cause-analyst.md', 'security-engineer.md', 'socratic-mentor.md', 'system-architect.md', 'technical-writer.md']
2025-08-28 13:19:10 | DEBUG    | superclaude | Discovered 0 .md files in /home/chad/.local/share/pipx/venvs/superclaude/lib/python3.12/site-packages/SuperClaude/MCP/configs
2025-08-28 13:19:24 | DEBUG    | superclaude | Discovered 3 .md files in /home/chad/.local/share/pipx/venvs/superclaude/lib/python3.12/site-packages/SuperClaude/Core
